Município;1992;1993;1994;1995;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
350010 Adamantina;32085;32099;32103;32106;33044;33280;33514;33750;33639;33793;33930;34218;34378;34536;33289;34366;34424;33797;33821;33843;34953;35001;35048;35094
350020 Adolfo;3230;3198;3164;3132;3394;3415;3437;3459;3728;3771;3811;3895;3942;3989;3609;3711;3710;3557;3548;3538;3639;3631;3623;3616
350030 Aguaí;24008;24705;25315;25909;27422;28320;29217;30116;28750;29212;29684;30674;31222;31766;30181;31763;32101;32168;32452;32745;34188;34530;34863;35189
350040 Águas da Prata;6747;6798;6846;6893;7305;7418;7531;7644;7135;7223;7266;7356;7406;7455;7367;7684;7734;7580;7619;7653;7942;7984;8025;8065
350050 Águas de Lindóia;12211;12374;12560;12741;14112;14594;15076;15559;16710;17079;17491;18289;18766;19240;15867;16335;16341;17261;17354;17438;18108;18212;18313;18412
350055 Águas de Santa Bárbara;3963;4024;4083;4140;4403;4475;4546;4618;5384;5504;5634;5907;6058;6208;5360;5580;5612;5598;5630;5658;5876;5911;5944;5977
350060 Águas de São Pedro;1744;1791;1834;1876;1733;1744;1755;1766;1863;1922;1940;1978;2000;2020;2340;2547;2613;2703;2771;2832;3004;3073;3139;3205
350070 Agudos;32247;32797;33292;33776;31577;31802;32026;32252;32764;32968;33193;33665;33926;34185;34221;35872;36188;34532;34681;34833;36150;36339;36524;36704
350075 Alambari;3356;3411;3461;3511;3470;3492;3515;3537;3713;3723;3758;3829;3869;3908;4070;4325;4391;4886;4979;5071;5356;5460;5560;5658
350080 Alfredo Marcondes;3449;3414;3378;3343;3658;3681;3704;3728;3711;3740;3760;3802;3825;3848;3851;4025;4055;3891;3906;3921;4064;4083;4101;4118
350090 Altair;3323;3419;3501;3580;3578;3636;3694;3752;3572;3591;3620;3679;3712;3745;3272;3312;3287;3814;3837;3859;4010;4035;4060;4085
350100 Altinópolis;13733;13841;13931;14019;14004;14101;14199;14297;15701;15868;16048;16425;16633;16840;15139;15560;15554;15609;15617;15627;16137;16159;16179;16199
350110 Alto Alegre;4733;4679;4629;4581;4308;4246;4184;4122;4198;4150;4099;3991;3931;3872;4157;4270;4267;4105;4090;4078;4193;4183;4173;4164
350115 Alumínio;14180;14614;15004;15385;13101;12967;12832;12698;15432;15567;15713;16019;16189;16357;15678;16331;16427;16845;16961;17079;17784;17924;18061;18194
350120 Álvares Florence;5001;4967;4929;4893;4493;4447;4402;4357;4227;4162;4090;3939;3856;3773;3902;3920;3876;3901;3865;3834;3915;3883;3853;3824
