"Ano" "Distrito" "Dpol" "Seccional" "homic" "roubovcl" "furtovcl" "jov1524" "baixopadrao" "rendamedia" "dprendamedia" "favela" "eformais" "mandato"
"1" 2003 "SÉ" 1 "1 CENTRO" 251.435077565349 384.26870344893 1148.06205227952 0.0881445988898904 115.205 9.155 9.114 0 3.96 1105.36552967408
"2" 2013 "SÉ" 1 "1 CENTRO" 81.1227387036586 304.21027013872 1022.1465076661 0.0732132716800519 134.707 4.786 11.462 0 3.944 369.108461101647
"3" 2013 "BOM_RETIRO" 2 "1 CENTRO" 11.2463800714145 157.449320999803 351.449377231704 0.0762223409340119 247.949 6.268 10.522 0 1.713 354.260972249557
"4" 2003 "BOM_RETIRO" 2 "1 CENTRO" 20.9380234505863 247.766610831937 589.754327191513 0.0887074260189838 223.771 11.321 8.559 1395.86823003908 1.504 174.483528754886
"5" 2013 "CAMPOS_ELÍSIOS" 3 "1 CENTRO" 15.3102885138813 61.2411540555253 452.504082743604 0.0567841589548176 426.834 6.379 10.457 0 2.695 105.47087642896
"6" 2003 "CAMPOS_ELÍSIOS" 3 "1 CENTRO" 88.9415950192707 148.235991698784 727.344599268702 0.0828738017590671 365.532 11.291 8.564 0 1.606 583.061567348552
"7" 2013 "CONSOLAÇÃO" 4 "1 CENTRO" 3.12022215981778 60.8443321164467 358.04549283909 0.0553059377827701 373.157 10.882 8.631 0 1.662 19.5013884988611
"8" 2003 "CONSOLAÇÃO" 4 "1 CENTRO" 3.3106827455492 120.839920212546 339.344981418793 0.0799281581844216 344.136 15.672 9.052 0 0.972 38.0728515738158
"9" 2013 "ACLIMAÇÃO" 5 "1 CENTRO" 5.68165677111446 126.416863157297 940.314195619443 0.0610920144314082 167.483 9.467 9.004 124.996448964518 0.601 55.396153518366
"10" 2003 "ACLIMAÇÃO" 5 "1 CENTRO" 31.0993624630695 166.381589177422 606.437568029855 0.0811848857098429 162.269 14.405 8.689 0 0.397 262.789612812937
"11" 2013 "CAMBUCI" 6 "1 CENTRO" 13.0828405463394 1132.97399131299 1724.31838400754 0.0601810665131613 234.64 9 9.172 0 1.102 68.030770840965
"12" 2003 "CAMBUCI" 6 "1 CENTRO" 41.7818345439352 896.702449058302 2455.48627627435 0.0774892331426368 217.862 12.943 8.489 0 0.804 131.773478177026
"13" 2013 "LAPA" 7 "3 OESTE" 7.52819308309619 629.356941746842 2097.3545929506 0.0547901892587741 483.932 11.273 8.566 421.578812653387 1.567 155.080777511782
"14" 2003 "LAPA" 7 "3 OESTE" 29.1073738680466 512.61319534282 2157.17981888745 0.0719275549805951 446.906 15.343 8.942 105.109961190168 1.064 56.5976714100905
"15" 2013 "BRÁS" 8 "1 CENTRO" 39.3236335037357 416.17512124787 1330.44960020973 0.0748132127408573 410.265 5.653 10.897 0 1.983 448.944815834316
"16" 2003 "BRÁS" 8 "1 CENTRO" 87.2434851875735 568.979251223305 1471.75966316428 0.0894435382923036 269.08 10.646 8.678 0 1.268 216.212115464856
"17" 2013 "CARANDIRU" 9 "4 OESTE" 16.2854661262305 439.707585408222 16.2854661262305 0.0651599594672843 465.746 7.239 9.978 170.092646207296 0.709 74.189345686161
"18" 2003 "CARANDIRU" 9 "4 OESTE" 29.2734333834234 638.160847758631 2056.94658574189 0.0830975195644113 417.239 11.555 8.53 70.2562401202162 0.507 87.8203001502703
